,871f90252ffffff,871f90254ffffff,871f9025affffff,871f902e9ffffff,871f902ecffffff,871f915b4ffffff,871f915b5ffffff,871f915b6ffffff,871f90203ffffff,871f90208ffffff,871f90209ffffff,871f9020affffff,871f9020bffffff,871f9020cffffff,871f9020dffffff,871f9020effffff,871f90219ffffff,871f90250ffffff,871f90255ffffff,871f90256ffffff,871f90272ffffff,871f90276ffffff,871f902c4ffffff,871f902c5ffffff,871f902d2ffffff,871f902e0ffffff,871f902e1ffffff,871f902e2ffffff,871f902e3ffffff,871f902e4ffffff,871f902e5ffffff,871f902e6ffffff,871f902eeffffff,871f902f5ffffff,871f90200ffffff,871f90204ffffff,871f90205ffffff,871f902f3ffffff,871f90251ffffff,871f90253ffffff,871f9025cffffff,871f9025dffffff,871f90271ffffff,871f90273ffffff,871f902d0ffffff,871f902d6ffffff,871f93925ffffff,871f90228ffffff,871f9022cffffff,871f9022effffff,871f902c0ffffff,871f9021dffffff,871f9022bffffff,871f90242ffffff,871f9024affffff,871f90258ffffff,871f9025effffff,871f90275ffffff,871f902e8ffffff,871f902edffffff,871f90346ffffff,871f9024cffffff,871f90240ffffff,871f90243ffffff,871f90246ffffff,871f902ccffffff,871f902ebffffff,871f915b2ffffff,871f90229ffffff,871f9022affffff,871f90249ffffff,871f90241ffffff,871f90248ffffff,871f9024bffffff,871f9025bffffff,871f915a4ffffff,871f93924ffffff,871f9024effffff,871f90352ffffff,871f90221ffffff,871f90223ffffff,871f90344ffffff,871f90262ffffff,871f90270ffffff,871f9035bffffff,871f90201ffffff,871f9392cffffff,871f90202ffffff,871f90244ffffff,871f902c6ffffff,871f902cdffffff,871f9035dffffff,871f90274ffffff,871f90358ffffff,871f915b0ffffff,871f90263ffffff,871f90343ffffff,871f9034affffff,871f90259ffffff,871f902f1ffffff,871f90350ffffff,871f902c2ffffff,871f90342ffffff,871f9034effffff,871f90264ffffff,871f9035effffff,871f90266ffffff,871f902eaffffff,871f90359ffffff,871f9035affffff,871f9022dffffff,871f902d5ffffff,871f9035cffffff
871f90254ffffff,117,1157,0,19,48,4,4,12,4,42,372,14,140,14,89,11,0,241,254,358,145,20,0,7,16,27,21,9,4,44,78,22,14,4,0,0,0,0,126,35,43,33,27,93,0,0,4,5,0,0,0,0,11,40,27,0,27,10,11,18,0,0,0,16,14,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,10,36,9,0,0,0,9,0,0,12,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
871f90240ffffff,7,8,5,0,4,6,0,4,0,0,6,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,11,9,0,0,0,0,0,0,0,0,0,0,0,34,6,0,8,0,0,4,0,0,61,9,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9025dffffff,11,26,19,6,0,4,0,0,0,4,8,0,4,0,5,0,0,14,16,13,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,30,7,55,157,0,0,0,0,0,0,0,0,0,0,0,14,81,11,23,4,0,9,0,0,10,32,0,0,0,0,0,0,10,0,9,14,6,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90251ffffff,30,117,16,9,35,8,0,6,0,4,40,0,12,0,15,0,0,111,114,44,12,0,0,0,0,7,12,0,4,7,12,0,7,0,0,0,0,0,316,36,62,31,6,11,0,0,0,0,0,0,0,0,0,83,23,4,67,0,8,17,0,0,13,14,14,0,0,0,0,0,4,0,0,10,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902edffffff,24,10,24,40,37,13,0,27,0,0,4,0,9,0,0,0,0,9,12,19,0,0,0,0,0,9,9,0,0,0,0,0,16,0,0,0,0,0,23,28,13,9,0,0,0,0,0,0,0,0,0,0,0,6,9,5,40,0,16,109,0,0,6,4,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90250ffffff,116,244,9,12,44,5,0,7,0,15,109,0,32,5,32,4,0,445,114,164,29,5,0,0,0,6,19,0,0,5,35,6,15,0,0,0,0,0,112,73,36,25,4,17,0,0,0,0,0,0,0,0,9,16,13,0,27,0,13,15,0,0,8,7,4,0,5,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90228ffffff,4,0,0,0,0,0,0,0,0,9,7,0,8,17,21,5,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,67,15,5,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
871f902e8ffffff,19,12,6,18,46,6,0,14,0,0,11,0,4,0,0,0,0,6,4,7,0,0,0,7,0,0,9,0,0,0,5,0,46,0,0,0,0,0,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,79,10,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9024affffff,6,30,11,6,7,7,0,0,0,0,11,0,0,0,7,0,0,10,13,13,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,11,26,94,0,4,0,0,0,0,0,0,0,0,0,19,173,4,9,0,0,0,0,0,7,16,0,0,0,0,0,0,16,0,21,32,5,7,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90253ffffff,74,47,11,14,30,15,5,13,0,8,43,0,15,0,9,4,0,73,17,43,5,0,0,0,0,0,7,0,0,0,12,0,11,0,0,0,0,0,42,180,15,0,0,7,0,0,0,0,0,0,0,0,0,9,6,0,45,0,4,39,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
