,871f90252ffffff,871f90254ffffff,871f9025affffff,871f902e9ffffff,871f902ecffffff,871f915b4ffffff,871f915b5ffffff,871f915b6ffffff,871f90203ffffff,871f90208ffffff,871f90209ffffff,871f9020affffff,871f9020bffffff,871f9020cffffff,871f9020dffffff,871f9020effffff,871f90219ffffff,871f90250ffffff,871f90255ffffff,871f90256ffffff,871f90272ffffff,871f90276ffffff,871f902c4ffffff,871f902c5ffffff,871f902d2ffffff,871f902e0ffffff,871f902e1ffffff,871f902e2ffffff,871f902e3ffffff,871f902e4ffffff,871f902e5ffffff,871f902e6ffffff,871f902eeffffff,871f902f5ffffff,871f90200ffffff,871f90204ffffff,871f90205ffffff,871f902f3ffffff,871f90251ffffff,871f90253ffffff,871f9025cffffff,871f9025dffffff,871f90271ffffff,871f90273ffffff,871f902d0ffffff,871f902d6ffffff,871f93925ffffff,871f90228ffffff,871f9022cffffff,871f9022effffff,871f902c0ffffff,871f9021dffffff,871f9022bffffff,871f90242ffffff,871f9024affffff,871f90258ffffff,871f9025effffff,871f90275ffffff,871f902e8ffffff,871f902edffffff,871f90346ffffff,871f9024cffffff,871f90240ffffff,871f90243ffffff,871f90246ffffff,871f902ccffffff,871f902ebffffff,871f915b2ffffff,871f90229ffffff,871f9022affffff,871f90249ffffff,871f90241ffffff,871f90248ffffff,871f9024bffffff,871f9025bffffff,871f915a4ffffff,871f93924ffffff,871f9024effffff,871f90352ffffff,871f90221ffffff,871f90223ffffff,871f90344ffffff,871f90262ffffff,871f90270ffffff,871f9035bffffff,871f90201ffffff,871f9392cffffff,871f90202ffffff,871f90244ffffff,871f902c6ffffff,871f902cdffffff,871f9035dffffff,871f90274ffffff,871f90358ffffff,871f915b0ffffff,871f90263ffffff,871f90343ffffff,871f9034affffff,871f90259ffffff,871f902f1ffffff,871f90350ffffff,871f902c2ffffff,871f90342ffffff,871f9034effffff,871f90264ffffff,871f9035effffff,871f90266ffffff,871f902eaffffff,871f90359ffffff,871f9035affffff,871f9022dffffff,871f902d5ffffff,871f9035cffffff
871f902e9ffffff,32,41,27,365,36,51,0,184,0,0,23,0,8,0,0,0,0,33,8,17,0,0,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,0,15,27,0,4,0,0,0,0,0,0,0,0,0,0,0,6,5,0,12,0,45,53,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90254ffffff,171,3314,0,38,72,4,5,26,4,78,563,30,211,22,136,18,0,469,518,607,238,28,0,8,27,48,33,17,5,61,111,35,15,6,0,0,0,0,206,46,66,48,40,178,0,0,4,8,0,0,0,0,12,51,36,0,30,18,12,21,0,0,0,21,19,0,0,0,0,0,0,0,0,14,0,0,0,9,0,0,0,0,16,57,10,0,0,0,14,0,0,20,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
871f90240ffffff,8,10,5,0,6,9,0,4,0,0,9,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,12,12,0,0,0,0,0,0,0,0,0,0,0,50,9,0,9,0,0,4,0,0,108,16,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9025dffffff,12,40,19,6,0,6,0,0,0,11,12,0,4,0,5,0,0,18,22,19,13,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,45,15,123,497,0,0,0,0,0,0,0,0,0,0,0,15,117,14,42,6,0,16,0,0,12,80,0,0,0,0,0,0,20,0,11,27,16,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90251ffffff,45,227,17,10,51,8,0,10,0,5,59,0,22,0,23,0,0,181,204,67,32,0,0,0,0,17,18,0,4,8,16,0,13,0,0,0,0,0,840,63,98,46,6,23,0,0,0,0,0,0,0,0,0,114,27,13,118,0,12,17,0,0,25,26,26,0,0,0,0,0,5,0,0,10,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902edffffff,42,12,29,59,64,22,0,42,0,0,13,0,9,0,0,0,0,11,13,23,0,0,0,0,0,10,10,0,0,0,0,0,30,0,0,0,0,0,28,33,15,16,0,0,0,0,0,0,0,0,0,0,0,18,9,7,79,0,19,219,0,0,7,4,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90250ffffff,195,496,10,26,61,6,0,9,0,21,192,0,44,5,47,5,0,1459,214,301,53,7,0,0,0,11,25,0,0,7,73,7,22,0,0,0,0,0,186,114,60,37,4,27,0,0,0,0,0,0,0,0,12,43,16,0,48,0,15,21,0,0,10,12,4,0,5,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90228ffffff,4,0,0,0,0,0,0,0,0,12,10,0,8,21,26,18,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,105,15,9,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
871f902e8ffffff,39,14,12,36,81,6,0,20,0,0,18,0,5,0,0,0,0,7,7,11,0,0,0,8,0,0,15,0,0,0,6,0,61,0,0,0,0,0,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,291,11,0,0,0,0,0,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9024affffff,10,37,13,7,14,7,0,0,0,0,13,0,0,0,7,0,0,14,18,21,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,17,41,145,0,12,0,0,0,0,0,0,0,0,0,22,555,7,18,0,0,0,0,0,7,18,0,0,0,0,0,0,26,0,50,74,5,13,0,39,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
